tanggal,nama_produk,kategori,jumlah_terjual,harga_satuan,total
2026-06-17,Headset Bluetooth,Elektronik,3,192149,576447
2026-06-17,Mouse Wireless,Elektronik,5,129729,648645
2026-06-17,Power Bank 10000mAh,Elektronik,1,248547,248547
2026-06-17,Headset Bluetooth,Elektronik,5,172973,864865
2026-06-17,Lampu LED,Rumah Tangga,2,50833,101666
2026-06-17,Kipas Angin Meja,Elektronik,5,158717,793585
2026-06-17,Sneakers,Fashion,7,305686,2139802
2026-06-17,Headset Bluetooth,Elektronik,5,192660,963300
2026-06-17,Sneakers,Fashion,3,311820,935460
2026-06-17,Celana Jeans,Fashion,4,220043,880172
2026-06-17,Power Bank 10000mAh,Elektronik,3,239471,718413
2026-06-17,Lampu LED,Rumah Tangga,1,52927,52927
2026-06-17,Kipas Angin Meja,Elektronik,1,153993,153993
2026-06-17,Sneakers,Fashion,6,298434,1790604
2026-06-17,Lampu LED,Rumah Tangga,3,58391,175173
2026-06-18,Kipas Angin Meja,Elektronik,2,144324,288648
2026-06-18,Kemeja Flanel,Fashion,2,177809,355618
2026-06-18,Power Bank 10000mAh,Elektronik,4,240300,961200
2026-06-18,Tas Ransel,Fashion,2,205424,410848
2026-06-18,Celana Jeans,Fashion,3,229558,688674
2026-06-18,Kipas Angin Meja,Elektronik,1,165829,165829
2026-06-18,Lampu LED,Rumah Tangga,5,56187,280935
2026-06-18,Kipas Angin Meja,Elektronik,4,148671,594684
2026-06-18,Sneakers,Fashion,6,308221,1849326
2026-06-18,Tas Ransel,Fashion,1,189517,189517
2026-06-18,Kaos Polos,Fashion,5,78861,394305
2026-06-18,Kemeja Flanel,Fashion,5,153547,767735
2026-06-18,Kipas Angin Meja,Elektronik,4,150404,601616
2026-06-18,Sneakers,Fashion,5,339695,1698475
2026-06-18,Kemeja Flanel,Fashion,5,155486,777430
2026-06-19,Kipas Angin Meja,Elektronik,5,157097,785485
2026-06-19,Sneakers,Fashion,5,312934,1564670
2026-06-19,Botol Minum 1L,Rumah Tangga,1,60745,60745
2026-06-19,Power Bank 10000mAh,Elektronik,2,231391,462782
2026-06-19,Tas Ransel,Fashion,1,192571,192571
2026-06-19,Sneakers,Fashion,7,313938,2197566
2026-06-19,Kemeja Flanel,Fashion,1,177436,177436
2026-06-19,Tas Ransel,Fashion,5,201886,1009430
2026-06-19,Kemeja Flanel,Fashion,3,172091,516273
2026-06-19,Power Bank 10000mAh,Elektronik,2,236905,473810
2026-06-19,Botol Minum 1L,Rumah Tangga,3,59833,179499
2026-06-19,Set Pisau Dapur,Rumah Tangga,5,151077,755385
2026-06-19,Power Bank 10000mAh,Elektronik,3,259524,778572
2026-06-19,Tas Ransel,Fashion,2,195239,390478
2026-06-19,Mouse Wireless,Elektronik,2,122478,244956
2026-06-20,Set Pisau Dapur,Rumah Tangga,7,154709,1082963
2026-06-20,Celana Jeans,Fashion,1,234571,234571
2026-06-20,Celana Jeans,Fashion,4,249239,996956
2026-06-20,Kaos Polos,Fashion,8,69695,557560
2026-06-20,Power Bank 10000mAh,Elektronik,1,254090,254090
2026-06-20,Set Pisau Dapur,Rumah Tangga,2,151167,302334
2026-06-20,Tas Ransel,Fashion,7,194228,1359596
2026-06-20,Mouse Wireless,Elektronik,7,120301,842107
2026-06-20,Sneakers,Fashion,11,343775,3781525
2026-06-20,Kipas Angin Meja,Elektronik,4,147588,590352
2026-06-20,Sneakers,Fashion,7,345351,2417457
2026-06-20,Set Pisau Dapur,Rumah Tangga,2,143874,287748
2026-06-20,Kaos Polos,Fashion,5,69768,348840
2026-06-20,Set Pisau Dapur,Rumah Tangga,2,138738,277476
2026-06-20,Headset Bluetooth,Elektronik,2,172301,344602
2026-06-21,Headset Bluetooth,Elektronik,6,195645,1173870
2026-06-21,Kaos Polos,Fashion,8,72341,578728
2026-06-21,Set Pisau Dapur,Rumah Tangga,8,136469,1091752
2026-06-21,Lampu LED,Rumah Tangga,6,54759,328554
2026-06-21,Sneakers,Fashion,6,304148,1824888
2026-06-21,Sneakers,Fashion,10,312540,3125400
2026-06-21,Kipas Angin Meja,Elektronik,1,143943,143943
2026-06-21,Headset Bluetooth,Elektronik,6,182117,1092702
2026-06-21,Kaos Polos,Fashion,11,71299,784289
2026-06-21,Mouse Wireless,Elektronik,5,123437,617185
2026-06-21,Botol Minum 1L,Rumah Tangga,1,62397,62397
2026-06-21,Botol Minum 1L,Rumah Tangga,8,68203,545624
2026-06-21,Power Bank 10000mAh,Elektronik,8,227383,1819064
2026-06-21,Headset Bluetooth,Elektronik,5,198882,994410
2026-06-21,Sneakers,Fashion,6,319264,1915584
2026-06-22,Mouse Wireless,Elektronik,4,122579,490316
2026-06-22,Kemeja Flanel,Fashion,4,176260,705040
2026-06-22,Kemeja Flanel,Fashion,5,162967,814835
2026-06-22,Tas Ransel,Fashion,2,201814,403628
2026-06-22,Kaos Polos,Fashion,4,72560,290240
2026-06-22,Kipas Angin Meja,Elektronik,3,156046,468138
2026-06-22,Headset Bluetooth,Elektronik,7,171684,1201788
2026-06-22,Set Pisau Dapur,Rumah Tangga,5,137052,685260
2026-06-22,Power Bank 10000mAh,Elektronik,1,258772,258772
2026-06-22,Lampu LED,Rumah Tangga,2,51198,102396
2026-06-22,Sneakers,Fashion,6,300538,1803228
2026-06-22,Lampu LED,Rumah Tangga,5,55831,279155
2026-06-22,Power Bank 10000mAh,Elektronik,5,241833,1209165
2026-06-22,Lampu LED,Rumah Tangga,3,55200,165600
2026-06-22,Kaos Polos,Fashion,4,77036,308144
2026-06-23,Mouse Wireless,Elektronik,3,128433,385299
2026-06-23,Botol Minum 1L,Rumah Tangga,1,63088,63088
2026-06-23,Headset Bluetooth,Elektronik,6,183765,1102590
2026-06-23,Power Bank 10000mAh,Elektronik,5,246475,1232375
2026-06-23,Kemeja Flanel,Fashion,3,155296,465888
2026-06-23,Power Bank 10000mAh,Elektronik,3,259867,779601
2026-06-23,Kemeja Flanel,Fashion,5,155964,779820
2026-06-23,Kipas Angin Meja,Elektronik,5,150102,750510
2026-06-23,Headset Bluetooth,Elektronik,7,189968,1329776
2026-06-23,Tas Ransel,Fashion,2,182631,365262
2026-06-23,Kemeja Flanel,Fashion,1,154847,154847
2026-06-23,Kipas Angin Meja,Elektronik,3,156319,468957
2026-06-23,Kemeja Flanel,Fashion,3,167767,503301
2026-06-23,Kaos Polos,Fashion,6,77249,463494
2026-06-23,Botol Minum 1L,Rumah Tangga,1,62411,62411
2026-06-24,Sneakers,Fashion,2,336862,673724
2026-06-24,Celana Jeans,Fashion,3,245194,735582
2026-06-24,Mouse Wireless,Elektronik,6,129824,778944
2026-06-24,Kipas Angin Meja,Elektronik,1,153206,153206
2026-06-24,Power Bank 10000mAh,Elektronik,2,228349,456698
2026-06-24,Set Pisau Dapur,Rumah Tangga,3,134235,402705
2026-06-24,Lampu LED,Rumah Tangga,5,55462,277310
2026-06-24,Mouse Wireless,Elektronik,3,115836,347508
2026-06-24,Headset Bluetooth,Elektronik,6,196808,1180848
2026-06-24,Kaos Polos,Fashion,7,77003,539021
2026-06-24,Sneakers,Fashion,3,344260,1032780
2026-06-24,Mouse Wireless,Elektronik,2,134524,269048
2026-06-24,Sneakers,Fashion,6,295669,1774014
2026-06-24,Tas Ransel,Fashion,2,206358,412716
2026-06-24,Kemeja Flanel,Fashion,1,156002,156002
2026-06-25,Headset Bluetooth,Elektronik,3,195614,586842
2026-06-25,Botol Minum 1L,Rumah Tangga,2,63436,126872
2026-06-25,Kaos Polos,Fashion,4,69283,277132
2026-06-25,Celana Jeans,Fashion,1,226675,226675
2026-06-25,Kemeja Flanel,Fashion,5,161070,805350
